Fornecedor,Contato,Endereço,Telefone,Municipio,Estado,Cep,Inscrição Estadadual,CNPJ/CPF,Data de Aprovação,Produtos e Serviços Oferecidos,Avaliação do Fornecedor,Vencimento
A.D.A. SOLUCOES INDUSTRIAIS LTDA,IGOR - planejamento1@adamontagens.com.br,"RUA CATAGUAZES, 379 - JARDIM SAO FRANCISCO",(19) 3478-2011,Santa Bárbara d'Oeste,São Paulo,13.457-039,606.338.374.116,09.623.040/0001-64,06/08/2021,Seviço de corte em chaparia,Auto-Avaliação - 87% - Excelente - I,06/08/2023
ACO INOX AMERICANA,"Fernanda
acoinoxamericana@gmail.com","Avenida Henrique Roberto Guilherme A. Brechmacher, 1417",(19) 3465-3417,Americana,São Paulo,13474-140,-,,08/06/2020,Inox,Auto-Avaliação - 94% - Excelente - I,08/06/2022
ACO INOX PIRACICABA LTDA,"Guilherme 
contato@acoinoxpiracicaba.com.br","Rua Frei Paulo de Sorocaba, 181 - Paulicéia",(19) 3432-3098,Piracicaba,São Paulo,13424-409,535.789.306.110,36.552.145/0001-42,02/09/2020,"Inox - barras, chapas e tubos",Auto-Avaliação - 88% - Excelente - I,02/09/2022
AÇOFERA,compras@acofera.com.br - Tom Estrafati,AVENIDA STANLEY 2350,(19) 3451-9000,Limeira,São Paulo,13482-860,-,-,15/04/2021,"AÇO REDONDOS LAMINADOS TREFILADOS NOS AÇOS 1020 E 1045, BARRAS CHATAS CANTONEIRAS VIGAS E PERFIS",Auto-Avaliação - 88% - Excelente - I,15/04/2023
AçoGrade Comércio de Metais Perfurados LTDA,contato@acograde.com.br,"Av. Ricardo Bassoli Cezare, 929
Jd. das Bandeiras.",(19) 3267-8410,Campinas,São Paulo,13050-080,244.955.610.113,06.071.946/0001-25,08/08/2019,"chapas perfuradas, grades, gradis",Auto-Avaliação - 100% - Excelente - I,08/08/2021
ACOS MALTA LTDA,José Carlos - jocarlos56@yahoo.com,"Rua Winifrida, 1077",(14) 3641-0777,Barra Bonita,São Paulo,17340-000,-,68.127.406/0001-73,15/04/2021,"Fornecimento em:
-Slitter, Chapa, Blanks, Tiras Bobinas Fina a Frio, Zincadas, Fina a Quente, Decapadas e Oleadas, Baixo, Médio e Alto Carbono",Auto-Avaliação - 89% - Excelente - I,15/04/2023
Almir Rogério Domingues,almir@consolataengenharia.com.br,"Rua José de Campos, 51",(19) 99418-3667,Santa Bárbara DOeste,São Paulo,13459-100,-,025.627.989-61,02/06/2020,Manutenção e instalações eletricas,Auto-Avaliação - 95% - Excelente I,02/06/2022
ALUMINOVO PERFIS DE ALUMÍNIO LTDA.,"Evellyn - (19) 9 8368-0530
evellyn@aluminovo.com.br","Av. Papa Paulo VI, 26",(19) 3738-9800,Campinas,São Paulo,13040-000,244.120.731.112,46.715.942/0001-57,08/02/2023,Alumínio,Auto-Avaliação - 91% - Excelente - I,08/02/2025
AMERICAFER,,"Rua Orlando Dei Santi, 240",(19) 3468-1463,Americana,São Paulo,13477-000,165.298.609.112,03.877.363/0001-06,31/10/2018,"Com grande variedade e quantidade de produtos em estoque, a AMERICA FER dispõe de toda a linha CA50 e CA60, chapas, cantoneiras, ferros chato, T, redondo e quadrado, além de tubos quadrados, retangulares e redondos.",Auto-Avaliação - 70% - Bom - II,31/10/2020
Anhanguera 110 - Aco Inox e Sucatas LTDA,acoinoxsumare@gmail.com,"Rua Um, 450, Lote 3 e 4",(19) 3832-6852,Sumaré,São Paulo,13178-440,-,04.399.104/0001-71,19/08/2019,AÇO INOXIDÁVEL ,Auto-Avaliação - 100% - Excelente - I,19/08/2021
ANTONIO CARLOS CANOVA - CHAPAS,carlos.canova2016@hotmail.com,"RUA DELCIO BETINI, 156",(19) 994052314,SANTA BARBARA,São Paulo,13455-725,-,925.221.578-68,15/04/2021,VENDA DE CHAPAS DE REFUGO,Auto-Avaliação - 90% - Excelente - I,15/04/2023
APERAM CAMPINAS - SERVICES & SOLUTIONS,Eder Fernando Domingues,"Avenida Mercedes Benz, 1420",(19) 3211-4066,Campinas,São Paulo,13054-750,244.687.476.111,60.500.121/0013-68,02/04/2020,Inox,Certificado 9001:2015,13/04/2023
ArcelorMittal Brasil S.A - Piracicaba,Batistela,"Av. Marechal Castelo Branco,101",(19) 99781-8989,Piracicaba,São Paulo,13412-901,-,17.469.701/0027-06,16/01/2021,"MANUFATURA DE TARUGOS DE AÇO EM LINGOTAMENTO CONTÍNUO E DE
BARRAS LAMINADAS À QUENTE, PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL.",Certificado 9001:2015,15/01/2024
ArcelorMittal Brasil S.A - Rio das Pedras,"Batistela
vendasbatistela@gmail.com","Rod. Açucar SP 308 Km S/N. Setor A
Distrito Industrial",(19) 99781-8989,Rio das Pedras,São Paulo,13390-000,588.012.635.110,17.469.701/0028-97,03/09/2021,"MANUFATURA DE TARUGOS DE AÇO EM LINGOTAMENTO CONTÍNUO E DE
BARRAS LAMINADAS À QUENTE, PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL.",Auto-Avaliação - 89% - Excelente - I,3/9/2023
ATITUDE METAIS,Regina,"Rua Laerte de Paiva, 344",(19) 3272-1455,Valinhos,São Paulo,13279-451,165.185.042.118,24.934.647/0001-59,29/01/2021,"ALUMÍNIO, COBRE E LATÃO",Auto-Avaliação - 90% - Excelente - I,29/01/2023
BS PINTURAS,adm@bspinturas.com.br,"Rua Milton Kilner Pio, 530",(19) 2144-4096,Santa Bárbara D'Oeste,São Paulo,13457-176,-,26.245.291/0001-71,02/06/2020,Serviços de tratamento e revestimento em metais,Auto-Avaliação - 93% - Excelente I,02/06/2022
CABMARX IND. E COMÉRCIO LTDA.,eliana@cabmarx.com.br,RUA DO MARCENEIRO,(19) 3468-2220,Americana,São Paulo,13.478-722,-,10.558.907/0001-24,15/04/2021,CORTE DE METAIS A LASER,Auto-Avaliação - 91% - Excelente I,15/04/2023
CAMPINAS CORTE LASER,,,,,,,-,58.507.435/0002-98,19/09/2018,"Prestação de Serviços de Corte a Laser, Dobra e Solda",Auto-Avaliação - 96% - Excelente - I,19/09/2020
CARTHOM S ELETRO METALURGICA LTDA,nfe@carthoms.com.br,"RUA Henrique Whitehead, 260 - Pq Industrial Recant",(19) 3466-8601,Nova Odessa,SP,13.460-000,482098476110,04.280.516/0001-98,17/10/2022,Fornecimento de chapas ALUMINIO,Auto-Avaliação - 90% - Excelente - I,17/10/2024
CENTURY COMERCIO DE TUBOS LTDA,Leonan 11 97116-3514,RUA COSTA BARROS 2504,(11) 2024-6015,São Paulo,São Paulo,03210-001,141.264.750.110,26.192.307/0001-25,12/12/2019,"Comércio de Tubos, Aços e Conexões.",Certificado 9001:2015,11/12/2022
