F10-001,"Chapa B.Carb Galv 0,50mm / #26",1510x100mm,19,116," R$  6,18 ","0,05",17/09/2018
F10-002,"Chapa B.Carb 19,00mm / 3/4""",1500x3000mm,0,1365," R$  3,90 ","0,00",21/09/2018
F10-002,"Chapa B.Carb 2,65mm / #12 / FQ",1500x6000mm,15,2818," R$  3,90 ","0,00",21/09/2018
F10-003,"Chapa B.Carb 0,90mm / #20 / FF",1200x3000mm,0,2000," R$  4,50 ","0,05",26/09/2018
F10-003,"Chapa B.Carb 12,70mm / 1/2""",1500x3000mm,0,2000," R$  3,98 ","0,05",26/09/2018
F10-003,"Chapa B.Carb 3,00mm / 1/8""",1200x3000mm,0,2000," R$  4,17 ","0,05",26/09/2018
F10-003A,"Chapa B.Carb 22,40mm / 7/8""",,0,268," R$  3,00 ","0,00",21/09/2018
F10-004,"Metalon B.Carb 50X30X1,2mm",6000mm,4,36," R$  5,80 ","0,00",21/09/2018
F10-004,"Metalon B.Carb 40X20X1,5mm",6000mm,5,41," R$  5,80 ","0,00",21/09/2018
F10-004,"Tubo B.Carb 38,10 X 1,50mm / 1 1/2""",6000mm,25,200," R$  5,80 ","0,00",21/09/2018
F10-004A,"Chapa B.Carb 22,40mm / 7/8""",,0,183," R$  3,00 ","0,00",21/09/2018
F10-005,"Ferro Redondo B.Carb 5/8""",6000mm,0,755," R$  4,10 ","0,00",24/09/2018
F10-006,"Chapa B.Carb 22,40mm / 7/8""",1500x3000mm,1,790," R$  4,20 ","0,00",24/09/2018
F10-007,"Chapa Inox 304 1,00mm / POLIDO",1200x2000mm,0,21," R$  26,15 ","0,00",22/09/2018
F10-007,"Chapa Inox 304 1,50mm / DECAPADO",1250x3000mm,0,46," R$  24,28 ","0,00",22/09/2018
F10-008,"Ferro Redondo A36 3/4""",6000mm,0,750," R$  4,10 ","0,00",28/09/2018
F10-009,"Ferro Redondo A36 1/2""",6000mm,0,180," R$  4,10 ","0,00",28/09/2018
F10-010,"Chapa Inox 304 1,50mm / POLIDO",1250x3000mm,1,46," R$  24,04 ","0,00",26/09/2018
F10-010,"Chapa Inox 304 1,50mm / POLIDO",1200x2000mm,2,60," R$  24,28 ","0,00",26/09/2018
F10-011,"Ferro Chato B.Carb 1"" X 3/16""",6000mm,0,403," R$  5,00 ","0,00",28/09/2018
F10-012,"Chapa Inox 304 2,00mm / POLIDO",1200x2000mm,1,41," R$  25,54 ","0,00",04/10/2018
F10-012A,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,360," R$  3,30 ","0,00",01/10/2018
F10-013,"Chapa B.Carb 4,75mm / 3/16""",1200x3000mm,22,2981," R$  3,97 ","0,00",05/10/2018
F10-013,"Chapa B.Carb 2,65mm / #12 / FQ",1200x3000mm,32,1985," R$  3,97 ","0,00",05/10/2018
F10-014,"Chapa Inox 304 3,00mm / DECAPADO",1200x3000mm,1,90," R$  17,30 ","0,00",12/11/2018
F10-014,"Chapa Inox 304 5,00mm / DECAPADO",1200x3000mm,1,150," R$  17,30 ","0,00",12/11/2018
F10-014,"Chapa Inox 304 1,20mm / DECAPADO",1200x3000mm,2,72," R$  17,30 ","0,00",12/11/2018
F10-014,"Chapa Inox 304 1,50mm / DECAPADO",1200x3000mm,2,90," R$  17,30 ","0,00",12/11/2018
F10-014,"Chapa Inox 304 2,00mm / DECAPADO",1200x3000mm,2,120," R$  17,30 ","0,00",12/11/2018
F10-015,"Chapa Inox 304 0,80mm / POLIDO",1200x3000mm,4,93," R$  23,00 ","0,05",10/10/2018
F10-015,"Chapa Inox 304 0,80mm / ESCOVADO",1200x3000mm,6,140," R$  22,00 ","0,05",10/10/2018
F10-016,"Metalon B.Carb 30X20X1,2mm",6000mm,0,110," R$  5,28 ","0,05",05/10/2018
F10-016,"Metalon B.Carb 20X20X1,2mm",6000mm,0,44," R$  5,28 ","0,05",05/10/2018
F10-016,"Metalon B.Carb 50X30X1,2mm",6000mm,0,90," R$  5,28 ","0,05",05/10/2018
F10-016,"Metalon B.Carb 40X40X1,2mm",6000mm,0,91," R$  5,28 ","0,05",05/10/2018
F10-016,"Tubo B.Carb 19,05 X 1,20mm / 3/4""",6000mm,0,50," R$  5,28 ","0,05",05/10/2018
F10-016,"Tubo B.Carb 25,40 X 1,20mm / 1""",6000mm,0,66," R$  5,28 ","0,05",05/10/2018
F10-016,"Tubo B.Carb 31,80 X 1,20mm / 1 1/4""",6000mm,0,55," R$  5,28 ","0,05",05/10/2018
F10-016,"Tubo B.Carb 50,80 X 1,20mm / 2""",6000mm,0,88," R$  5,28 ","0,05",05/10/2018
F10-017,"Ferro Chato B.Carb 1"" X 3/16""",6000mm,0,283," R$  4,82 ","0,00",08/10/2018
